"","X","agency_cd","site_no","Date","X_00060_00003","X_00060_00003_cd"
"254",1,"USGS",15297485,"1980-04-01",16,"A"
"255",1,"USGS",15041200,"1987-07-23",37400,"A"
"256",1,"USGS",15297580,"2004-05-19",974,"A"
"257",1,"USGS",15297585,"2004-05-20",1360,"A"
"258",1,"USGS",15297602,"1983-08-11",0.25,"A"
"259",1,"USGS",15297603,"1983-08-10",5.3,"A"
"260",1,"USGS",15297610,"1981-10-01",160,"A"
"261",1,"USGS",15297617,"1992-09-30",0.59,"A"
"262",1,"USGS",15297625,"1993-07-01",65,"A e"
"263",1,"USGS",15297640,"1967-11-01",3,"A"
"264",1,"USGS",15297650,"1968-04-01",0.8,"A"
"265",1,"USGS",15297655,"1968-04-01",0.6,"A"
"266",1,"USGS",15044000,"1951-07-01",580,"A"
"267",1,"USGS",15297660,"1967-11-01",0.45,"A"
"268",1,"USGS",15297680,"1967-11-01",3,"A"
"269",1,"USGS",15297690,"1968-04-01",1.1,"A"
"270",1,"USGS",15297767,"1970-11-21",1.8,"A"
"271",1,"USGS",15297771,"1970-11-23",0.72,"A"
"272",1,"USGS",15297773,"1970-11-22",0.7,"A"
"273",1,"USGS",15297900,"1973-10-01",24,"A"
"274",1,"USGS",15298000,"1951-08-01",1300,"A"
"275",1,"USGS",15298040,"2009-10-01",1400,"A e"
"276",1,"USGS",15299900,"1981-02-23",255,"A"
"277",1,"USGS",15046000,"1916-05-01",33,"A"
"278",1,"USGS",15300000,"1951-07-01",18000,"A"
"279",1,"USGS",15300100,"2005-07-23",3.52,"A"
"280",1,"USGS",15300200,"2005-05-01",65,"A e"
"281",1,"USGS",15300250,"2004-08-25",106,"A"
"282",1,"USGS",15300300,"1996-05-24",1550,"A"
"283",1,"USGS",15300500,"1967-08-01",24000,"A"
"284",1,"USGS",15300520,"2008-06-01",900,"A e"
"285",1,"USGS",15301500,"1963-06-23",4620,"A"
"286",1,"USGS",15302000,"1953-03-11",2230,"A"
"287",1,"USGS",15302200,"2004-08-25",46,"A"
"288",1,"USGS",15048000,"1916-08-01",80,"A"
"289",1,"USGS",15302250,"2004-08-24",68,"A"
"290",1,"USGS",15302300,"2009-06-01",10500,"A e"
"291",1,"USGS",15302320,"2009-06-01",800,"A e"
"292",1,"USGS",15302500,"1977-10-01",54000,"A"
"293",1,"USGS",15302800,"1959-07-16",46,"A"
"294",1,"USGS",15302840,"1979-10-01",130,"A"
"295",1,"USGS",15303000,"1957-09-24",8210,"A"
"296",1,"USGS",15303010,"1984-10-01",14,"A"
"297",1,"USGS",15303011,"1990-05-01",20,"A e"
"298",1,"USGS",15303100,"1973-08-01",19,"A"
"299",1,"USGS",15049900,"1984-06-01",400,"A"
"300",1,"USGS",15303150,"1973-08-01",420,"A"
"301",1,"USGS",15303600,"1963-07-01",42000,"A"
"302",1,"USGS",15303700,"1987-05-01",150,"A"
"303",1,"USGS",15303900,"2010-06-01",17000,"A e"
"304",1,"USGS",15304000,"1951-06-15",75300,"A"
"305",1,"USGS",15304010,"2007-07-01",380,"A e"
"306",1,"USGS",15304200,"1979-10-01",1600,"A"
"307",1,"USGS",15304293,"1986-04-01",0,"A"
"308",1,"USGS",15304298,"1985-05-01",2,"A"
"309",1,"USGS",15304400,"2004-05-21",43,"A"
"310",1,"USGS",15050000,"1916-08-01",213,"A"
"311",1,"USGS",15310000,"1910-07-07",339,"A e"
"312",1,"USGS",15310002,"2015-05-20",730,"A e"
"313",1,"USGS",15320100,"1996-05-06",0.12,"A e"
"314",1,"USGS",15330000,"2019-05-19",3590,"A"
"315",1,"USGS",15331000,"2019-05-20",2760,"A"
"316",1,"USGS",15348000,"1975-10-01",1500,"A"
"317",1,"USGS",15356000,"1950-06-01",120000,"A"
"318",1,"USGS",15388030,"1991-06-19",1000,"A"
"319",1,"USGS",15388060,"1994-06-22",5000,"A e"
"320",1,"USGS",15388070,"2002-06-15",2300,"A e"
"321",1,"USGS",15051008,"1982-06-18",109,"A"
"322",1,"USGS",15389000,"1964-08-17",23300,"A"
"323",1,"USGS",15389100,"2009-10-01",41000,"A e"
"324",1,"USGS",15389500,"1963-07-15",15600,"A"
"325",1,"USGS",15392000,"2001-08-28",115,"A"
"326",1,"USGS",15439800,"1966-05-23",51,"A"
"327",1,"USGS",15446000,"2020-05-28",4800,"P"
"328",1,"USGS",15452100,"2009-09-01",4680,"A"
"329",1,"USGS",15452300,"2009-09-01",2010,"A e"
"330",1,"USGS",15453500,"1976-10-01",120000,"A"
"331",1,"USGS",15457790,"2010-10-01",0.2,"A e"
"332",1,"USGS",15011500,"1963-08-01",600,"A"
"333",1,"USGS",15051010,"1990-10-01",61,"A"
"334",1,"USGS",15457800,"1970-06-17",1750,"A"
"335",1,"USGS",15468000,"1954-10-09",93000,"A"
"336",1,"USGS",15470000,"1949-07-01",7200,"A"
"337",1,"USGS",15472000,"1950-05-01",2200,"A"
"338",1,"USGS",15474000,"1951-10-01",290,"A"
"339",1,"USGS",15476000,"1953-02-17",2040,"A"
"340",1,"USGS",15476300,"1971-07-28",48,"A"
"341",1,"USGS",15476400,"1965-10-01",0,"A"
"342",1,"USGS",15477500,"1977-05-17",709,"A"
"343",1,"USGS",15477730,"1999-09-30",0.15,"A"
"344",1,"USGS",15052000,"1951-08-01",410,"A"
"345",1,"USGS",15477740,"1997-08-01",400,"A e"
"346",1,"USGS",15477761,"1999-10-01",0.6,"A e"
"347",1,"USGS",15477768,"2000-05-01",3.2,"A e"
"348",1,"USGS",15477770,"1997-08-01",4,"A e"
"349",1,"USGS",15477790,"1997-08-01",40,"A e"
"350",1,"USGS",15478000,"1948-09-15",15500,"A"
"351",1,"USGS",15478040,"1966-10-01",20,"A"
"352",1,"USGS",15484000,"1948-10-01",2000,"A"
"353",1,"USGS",15485000,"1964-07-01",150,"A"
"354",1,"USGS",15485200,"1964-07-01",37,"A"
"355",1,"USGS",15052009,"1982-10-01",1000,"A"
"356",1,"USGS",15485500,"1973-05-01",13500,"A"
"357",1,"USGS",15493000,"1967-10-01",860,"A"
"358",1,"USGS",15493400,"1993-09-30",1790,"A"
"359",1,"USGS",15493500,"1972-05-01",210,"A"
"360",1,"USGS",15493700,"1979-08-01",2000,"A"
"361",1,"USGS",15511000,"1966-08-01",130,"A"
"362",1,"USGS",15512000,"1948-05-01",110,"A"
"363",1,"USGS",15514000,"1947-08-01",1380,"A"
"364",1,"USGS",15514500,"1968-09-01",886,"A"
"365",1,"USGS",15515048,"2016-05-18",6.7,"A"
"366",1,"USGS",15052475,"1997-05-01",11,"A e"
"367",1,"USGS",15515060,"2004-03-23",5.1,"A"
"368",1,"USGS",15515080,"2004-10-01",4,"A e"
"369",1,"USGS",15515500,"1962-05-01",7200,"A"
"370",1,"USGS",15515800,"1965-10-01",98,"A"
"371",1,"USGS",15516000,"1950-06-16",4560,"A"
"372",1,"USGS",15518000,"1950-10-01",2000,"A"
"373",1,"USGS",15518020,"1998-09-01",200,"A e"
"374",1,"USGS",15518040,"1990-04-24",1010,"A"
"375",1,"USGS",15518080,"1985-05-30",144,"A"
"376",1,"USGS",15518300,"1964-10-01",4000,"A"
"377",1,"USGS",15052495,"2000-03-22",17,"A e"
"378",1,"USGS",15518350,"1964-10-01",535,"A"
"379",1,"USGS",15518900,"2010-10-01",11.2,"A"
"380",1,"USGS",15519030,"2019-05-09",49.4,"A"
"381",1,"USGS",15519100,"2010-10-01",17.1,"A"
"382",1,"USGS",15519150,"2010-10-01",27,"A"
"383",1,"USGS",15532000,"1907-07-16",52,"A"
"384",1,"USGS",15534800,"1996-05-15",1100,"A e"
"385",1,"USGS",15534900,"1971-09-01",27,"A"
"386",1,"USGS",15535000,"1969-10-01",3.4,"A"
"387",1,"USGS",15564450,"1995-05-18",42,"A e"
"388",1,"USGS",15052500,"1965-05-15",128,"A"
"389",1,"USGS",15564600,"1961-08-10",1830,"A"
"390",1,"USGS",15564800,"1956-10-01",247000,"A"
"391",1,"USGS",15564875,"1970-08-01",1000,"A"
"392",1,"USGS",15564877,"1970-08-01",32,"A"
"393",1,"USGS",15564879,"1995-05-01",170,"A e"
"394",1,"USGS",15564885,"1970-08-01",600,"A"
"395",1,"USGS",15564900,"1960-01-16",781,"A"
"396",1,"USGS",15565200,"1956-10-01",310000,"A"
"397",1,"USGS",15565235,"1975-08-01",4,"A"
"398",1,"USGS",15565400,"2001-07-01",3100,"A e"
"399",1,"USGS",15052800,"1965-08-01",90,"A"
"400",1,"USGS",15565447,"1975-10-01",391000,"A"
"401",1,"USGS",15565700,"1997-05-20",3010,"A"
"402",1,"USGS",15580095,"2013-07-10",1180,"A"
"403",1,"USGS",15583500,"2001-07-01",5.8,"A e"
"404",1,"USGS",15621000,"1965-09-01",340,"A"
"405",1,"USGS",15625850,"2004-05-27",220,"A e"
"406",1,"USGS",15625900,"2004-05-26",660,"A e"
"407",1,"USGS",15635000,"1988-07-01",10,"A"
"408",1,"USGS",15668200,"1975-08-30",215,"A"
"409",1,"USGS",15712000,"1962-08-01",866,"A"
"410",1,"USGS",15053200,"1993-12-01",6.5,"A e"
"411",1,"USGS",15716010,"1992-07-01",6.6,"A e"
"412",1,"USGS",15743000,"1965-06-05",58,"A"
"413",1,"USGS",15743850,"1986-07-17",9.5,"A"
"414",1,"USGS",15744000,"1965-07-22",30300,"A"
"415",1,"USGS",15744500,"1976-09-01",9000,"A"
"416",1,"USGS",15746000,"1965-08-12",91200,"A"
"417",1,"USGS",15746900,"2000-07-01",160,"A e"
"418",1,"USGS",15746980,"1990-09-30",130,"A"
"419",1,"USGS",15746983,"1991-06-01",23,"A e"
"420",1,"USGS",15746988,"1991-06-01",100,"A e"
"421",1,"USGS",15053800,"1963-10-01",29,"A"
"422",1,"USGS",15746990,"1991-06-01",150,"A e"
"423",1,"USGS",1574699020,"2005-05-20",300,"A e"
"424",1,"USGS",15746991,"1995-06-19",370,"A"
"425",1,"USGS",15747000,"1984-09-11",550,"A"
"426",1,"USGS",15748000,"1960-10-01",10,"A"
"427",1,"USGS",15798700,"1971-10-01",0,"A"
"428",1,"USGS",15799000,"1972-06-01",0,"A"
"429",1,"USGS",15799300,"1972-06-01",0,"A"
"430",1,"USGS",15803000,"1977-06-01",0,"A"
"431",1,"USGS",15820000,"2004-10-01",225,"A e"
"432",1,"USGS",15054000,"1947-08-24",4,"A"
"433",1,"USGS",15830000,"1977-06-01",0,"A"
"434",1,"USGS",15860000,"2004-10-01",345,"A e"
"435",1,"USGS",15861000,"2004-10-01",90,"A e"
"436",1,"USGS",15862500,"2006-10-01",10,"A e"
"437",1,"USGS",15875000,"2002-08-21",31000,"A e"
"438",1,"USGS",15880000,"1977-06-09",277000,"A"
"439",1,"USGS",15896000,"1971-05-31",7200,"A"
"440",1,"USGS",15896700,"1970-05-01",0,"A"
"441",1,"USGS",15904800,"1991-10-01",15,"A e"
"442",1,"USGS",15905100,"2010-09-30",80,"A"
"443",1,"USGS",15011870,"1977-09-01",7.9,"A"
"444",1,"USGS",15054200,"1966-10-01",500,"A"
"445",1,"USGS",15906000,"1987-10-01",0,"A"
"446",1,"USGS",15908000,"1982-09-01",1720,"A"
"447",1,"USGS",15910000,"1970-08-11",3650,"A"
"448",1,"USGS",15955000,"2008-06-23",2840,"A"
"449",1,"USGS",15960000,"2008-06-01",170,"A e"
"450",1,"USGS",15975000,"1958-06-29",15,"A"
"451",1,"USGS",15976000,"1958-06-23",699,"A"
"452",1,"USGS",15980000,"2010-09-30",83.9,"A"
"453",1,"USGS",15054600,"1970-10-01",9.4,"A"
"454",1,"USGS",15054990,"1969-10-01",120,"A"
"455",1,"USGS",15055500,"1997-05-16",231,"A"
"456",1,"USGS",15056030,"1997-05-14",13,"A e"
"457",1,"USGS",15056070,"1980-06-30",145,"A"
"458",1,"USGS",15056095,"1991-10-01",10,"A"
"459",1,"USGS",15056100,"1963-10-01",802,"A"
"460",1,"USGS",15056200,"1962-06-01",268,"A"
"461",1,"USGS",15056210,"1969-10-01",700,"A"
"462",1,"USGS",15011880,"1977-08-30",494,"A"
"463",1,"USGS",15056280,"1993-08-01",140,"A e"
"464",1,"USGS",15056400,"1962-06-01",628,"A"
"465",1,"USGS",15056500,"1959-07-01",8380,"A"
"466",1,"USGS",15056560,"1981-10-01",2150,"A"
"467",1,"USGS",15057580,"1999-08-26",56,"A"
"468",1,"USGS",15057596,"2014-05-14",278,"A"
"469",1,"USGS",15058000,"1947-07-01",107,"A"
"470",1,"USGS",15058700,"2009-10-01",70,"A e"
"471",1,"USGS",15059500,"1968-09-01",20,"A"
"472",1,"USGS",15060000,"1931-10-01",55,"A"
"473",1,"USGS",15011894,"1981-02-11",134,"A"
"474",1,"USGS",15062000,"1948-10-01",24,"A"
"475",1,"USGS",15064000,"1909-11-01",685,"A"
"476",1,"USGS",15066000,"1917-08-01",75,"A"
"477",1,"USGS",15067900,"1977-10-01",11,"A"
"478",1,"USGS",15068000,"1920-09-01",100,"A"
"479",1,"USGS",15068040,"2017-06-07",101,"A"
"480",1,"USGS",15070000,"1916-08-24",766,"A"
"481",1,"USGS",15072000,"1915-06-01",270,"A"
"482",1,"USGS",15074000,"1927-10-01",610,"A"
"483",1,"USGS",15076000,"1927-10-01",942,"A"
"484",1,"USGS",15012000,"1936-08-01",75,"A"
"485",1,"USGS",15078000,"1927-10-01",1050,"A"
"486",1,"USGS",15080000,"1915-06-01",362,"A"
"487",1,"USGS",15080500,"1964-06-01",550,"A"
"488",1,"USGS",15081495,"1990-06-23",13,"A"
"489",1,"USGS",15081497,"1989-09-01",16,"A"
"490",1,"USGS",15081500,"1964-10-01",1100,"A"
"491",1,"USGS",15081510,"1980-10-01",100,"A"
"492",1,"USGS",15081580,"1980-06-21",17,"A"
"493",1,"USGS",15081610,"1999-03-01",35,"A e"
"494",1,"USGS",15081614,"2000-12-07",20,"A e"
"495",1,"USGS",15014000,"1923-10-01",226,"A"
"496",1,"USGS",15081800,"1967-07-16",109,"A"
"497",1,"USGS",15081995,"1982-07-22",43,"A"
"498",1,"USGS",15083500,"1976-08-06",4.4,"A"
"499",1,"USGS",15085000,"1962-06-01",20,"A"
"500",1,"USGS",15085100,"1949-07-01",29,"A"
"501",1,"USGS",15085300,"1962-06-01",50,"A"
"502",1,"USGS",15085400,"1962-06-01",2,"A"
"503",1,"USGS",15085600,"1949-07-01",35,"A"
"504",1,"USGS",15085700,"1949-07-01",312,"A"
"505",1,"USGS",15085800,"1949-07-01",147,"A"
